sequenceID	name	Genus	referenceName	featureName	startNT	endNT
NC_001944	BFDV	Circovirus	REF_Circo_BFDV	whole_genome	1	1993
NC_001944	BFDV	Circovirus	REF_Circo_BFDV	Rep	108	1007
NC_001944	BFDV	Circovirus	REF_Circo_BFDV	Cap	1240	1974
NC_003410	CaCV	Circovirus	REF_Circo_CaCV	whole_genome	1	1952
NC_003410	CaCV	Circovirus	REF_Circo_CaCV	Rep	32	904
NC_003410	CaCV	Circovirus	REF_Circo_CaCV	Cap	1154	1906
NC_005148	PCV-2	Circovirus	REF_Circo_PCV-2	whole_genome	1	1768
NC_005148	PCV-2	Circovirus	REF_Circo_PCV-2	Rep	51	995
NC_005148	PCV-2	Circovirus	REF_Circo_PCV-2	ORF3	357	671
NC_005148	PCV-2	Circovirus	REF_Circo_PCV-2	Cap	1034	1735
NC_008033	StCV	Circovirus	REF_Circo_StCV	whole_genome	1	2063
NC_008033	StCV	Circovirus	REF_Circo_StCV	Rep	37	906
NC_008033	StCV	Circovirus	REF_Circo_StCV	gp3	834	1154
NC_008033	StCV	Circovirus	REF_Circo_StCV	Cap	1190	2020
NC_007220	DuCV	Circovirus	REF_Circo_DuCV	whole_genome	1	1991
NC_007220	DuCV	Circovirus	REF_Circo_DuCV	Rep	48	926
NC_007220	DuCV	Circovirus	REF_Circo_DuCV	gp3	423	827
NC_007220	DuCV	Circovirus	REF_Circo_DuCV	Cap	1155	1928
NC_008033	SvCV	Circovirus	REF_Circo_SvCV	whole_genome	1	2063
NC_008033	SvCV	Circovirus	REF_Circo_SvCV	Rep	37	906
NC_008033	SvCV	Circovirus	REF_Circo_SvCV	Cap	1190	2020
NC_008375	RaCV	Circovirus	REF_Circo_RaCV	whole_genome	1	1898
NC_008375	RaCV	Circovirus	REF_Circo_RaCV	Rep	36	911
NC_008375	RaCV	Circovirus	REF_Circo_RaCV	Cap	1116	1844
NC_008521	GuCV	Circovirus	REF_Circo_GuCV	whole_genome	1	2035
NC_008521	GuCV	Circovirus	REF_Circo_GuCV	Rep	100	1017
NC_008521	GuCV	Circovirus	REF_Circo_GuCV	gp3	790	1209
NC_008521	GuCV	Circovirus	REF_Circo_GuCV	Cap	1190	1927
NC_002361	CoCV	Circovirus	REF_Circo_CoCV	whole_genome	1	2037
NC_002361	CoCV	Circovirus	REF_Circo_CoCV	Rep	41	994
NC_002361	CoCV	Circovirus	REF_Circo_CoCV	gp3	410	790
NC_002361	CoCV	Circovirus	REF_Circo_CoCV	Cap	1166	1987
NC_008522	FiCV	Circovirus	REF_Circo_FiCV	whole_genome	1	1962
NC_008522	FiCV	Circovirus	REF_Circo_FiCV	Rep	29	904
NC_008522	FiCV	Circovirus	REF_Circo_FiCV	Cap	614	1063
NC_015399	BarbCV	Circovirus	REF_Circo_BarbCV	whole_genome	1	1957
NC_015399	BarbCV	Circovirus	REF_Circo_BarbCV	Rep	48	1007
NC_015399	BarbCV	Circovirus	REF_Circo_BarbCV	Cap	1261	1761
NC_020904	CfCV	Circovirus	REF_Circo_CfCV	whole_genome	1	2063
NC_020904	CfCV	Circovirus	REF_Circo_CfCV	Rep	1	912
NC_020904	CfCV	Circovirus	REF_Circo_CfCV	Cap	1116	1928
NC_023885	MiCV	Circovirus	REF_Circo_MiCV	whole_genome	1	1753
NC_023885	MiCV	Circovirus	REF_Circo_MiCV	Rep	36	929
NC_023885	MiCV	Circovirus	REF_Circo_MiCV	Cap	1020	1703
NC_025246	SgCV	Circovirus	REF_Circo_SgCV	whole_genome	1	1966
NC_025246	SgCV	Circovirus	REF_Circo_SgCV	Rep	251	1195
NC_025246	SgCV	Circovirus	REF_Circo_SgCV	Cap	1251	1934
NC_025247	SwCV	Circovirus	REF_Circo_SwCV	whole_genome	1	1783
NC_025247	SwCV	Circovirus	REF_Circo_SwCV	Rep	48	929
NC_025247	SwCV	Circovirus	REF_Circo_SwCV	Cap	968	1723
NC_026945	ZfCV	Circovirus	REF_Circo_ZfCV	whole_genome	1	1982
NC_026945	ZfCV	Circovirus	REF_Circo_ZfCV	Rep	29	904
NC_026945	ZfCV	Circovirus	REF_Circo_ZfCV	ORFV2	1233	1967
NC_026945	ZfCV	Circovirus	REF_Circo_ZfCV	ORFC2	1289	1720
NC_026945	ZfCV	Circovirus	REF_Circo_ZfCV	Cap	1233	1772
NC_028045	TbCV	Circovirus	REF_Circo_TbCV	whole_genome	1	1767
NC_028045	TbCV	Circovirus	REF_Circo_TbCV	Rep	8	919
NC_028045	TbCV	Circovirus	REF_Circo_TbCV	Cap	1055	1711
NC_031753	PCV-3	Circovirus	REF_Circo_PCV-3	whole_genome	1	2000
NC_031753	PCV-3	Circovirus	REF_Circo_PCV-3	Rep	216	1106
NC_031753	PCV-3	Circovirus	REF_Circo_PCV-3	Cap	1336	1980
