taxon	sequenceID	name	genus	scaffold	host_species	host_genus	host_family	host_order
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Crotalus_horridus_21449	Crotalus_horridus_21449	Crotalus_horridus_21449	Circovirus	LVCR01015089.1	Crotalus_horridus	-	Viperidae	Squamata
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Crotalus_horridus_34904	Crotalus_horridus_34904	Crotalus_horridus_34904	Circovirus	LVCR01008418.1	Crotalus_horridus	-	Viperidae	Squamata
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Crotalus_horridus_7251	Crotalus_horridus_7251	Crotalus_horridus_7251	Circovirus	LVCR01091779.1	Crotalus_horridus	-	Viperidae	Squamata
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Crotalus_horridus_76585	Crotalus_horridus_76585	Crotalus_horridus_76585	Circovirus	LVCR01005637.1	Crotalus_horridus	-	Viperidae	Squamata
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Crotalus_mitchellii_pyrrhus_1506	Crotalus_mitchellii_pyrrhus_1506	Crotalus_mitchellii_pyrrhus_1506	Circovirus	JPMF01009165.1	Crotalus_mitchellii_pyrrhus	-	Viperidae	Squamata
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Crotalus_mitchellii_pyrrhus_210	Crotalus_mitchellii_pyrrhus_210	Crotalus_mitchellii_pyrrhus_210	Circovirus	JPMF01156588.1	Crotalus_mitchellii_pyrrhus	-	Viperidae	Squamata
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Crotalus_mitchellii_pyrrhus_24	Crotalus_mitchellii_pyrrhus_24	Crotalus_mitchellii_pyrrhus_24	Circovirus	JPMF01327854.1	Crotalus_mitchellii_pyrrhus	-	Viperidae	Squamata
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Crotalus_mitchellii_pyrrhus_2674	Crotalus_mitchellii_pyrrhus_2674	Crotalus_mitchellii_pyrrhus_2674	Circovirus	JPMF01223473.1	Crotalus_mitchellii_pyrrhus	-	Viperidae	Squamata
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Crotalus_mitchellii_pyrrhus_404	Crotalus_mitchellii_pyrrhus_404	Crotalus_mitchellii_pyrrhus_404	Circovirus	JPMF01223472.1	Crotalus_mitchellii_pyrrhus	-	Viperidae	Squamata
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Crotalus_mitchellii_pyrrhus_4876	Crotalus_mitchellii_pyrrhus_4876	Crotalus_mitchellii_pyrrhus_4876	Circovirus	JPMF01099474.1	Crotalus_mitchellii_pyrrhus	-	Viperidae	Squamata
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Crotalus_mitchellii_pyrrhus_50	Crotalus_mitchellii_pyrrhus_50	Crotalus_mitchellii_pyrrhus_50	Circovirus	JPMF01333966.1	Crotalus_mitchellii_pyrrhus	-	Viperidae	Squamata
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Crotalus_mitchellii_pyrrhus_52	Crotalus_mitchellii_pyrrhus_52	Crotalus_mitchellii_pyrrhus_52	Circovirus	JPMF01192303.1	Crotalus_mitchellii_pyrrhus	-	Viperidae	Squamata
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Crotalus_mitchellii_pyrrhus_6477	Crotalus_mitchellii_pyrrhus_6477	Crotalus_mitchellii_pyrrhus_6477	Circovirus	JPMF01024207.1	Crotalus_mitchellii_pyrrhus	-	Viperidae	Squamata
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Crotalus_viridis_203766	Crotalus_viridis_203766	Crotalus_viridis_203766	Circovirus	PDHV01000084.1	Crotalus_viridis	-	Viperidae	Squamata
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Crotalus_viridis_215450	Crotalus_viridis_215450	Crotalus_viridis_215450	Circovirus	PDHV01000559.1	Crotalus_viridis	-	Viperidae	Squamata
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Crotalus_viridis_2716	Crotalus_viridis_2716	Crotalus_viridis_2716	Circovirus	PDHV01000557.1	Crotalus_viridis	-	Viperidae	Squamata
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Crotalus_viridis_48039	Crotalus_viridis_48039	Crotalus_viridis_48039	Circovirus	PDHV01003690.1	Crotalus_viridis	-	Viperidae	Squamata
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Crotalus_viridis_49971	Crotalus_viridis_49971	Crotalus_viridis_49971	Circovirus	PDHV01006230.1	Crotalus_viridis	-	Viperidae	Squamata
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Crotalus_viridis_53133	Crotalus_viridis_53133	Crotalus_viridis_53133	Circovirus	PDHV01005724.1	Crotalus_viridis	-	Viperidae	Squamata
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Crotalus_viridis_82668	Crotalus_viridis_82668	Crotalus_viridis_82668	Circovirus	PDHV01000968.1	Crotalus_viridis	-	Viperidae	Squamata
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Pantherophis_guttatus_1347	Pantherophis_guttatus_1347	Pantherophis_guttatus_1347	Circovirus	JTLQ01205518.1	Pantherophis_guttatus	-	Colubridae	Squamata
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Protobothrops_flavoviridis_165763	Protobothrops_flavoviridis_165763	Protobothrops_flavoviridis_165763	Circovirus	BFFQ01002615.1	Protobothrops_flavoviridis	-	Viperidae	Squamata
alignment/AL_ecv-circo.105-serpentes-con/member/fasta-digs-circo-ecv/Protobothrops_flavoviridis_176907	Protobothrops_flavoviridis_176907	Protobothrops_flavoviridis_176907	Circovirus	BFFQ01003953.1	Protobothrops_flavoviridis	-	Viperidae	Squamata
