sequenceID	name	referenceName	featureName	startNT	endNT	Orientation
NC_001792	PCV-1	REF_MASTER_PCV-1	Rep	55	993	(+)
NC_001792	PCV-1	REF_MASTER_PCV-1	Cap 	1038	1730	(-)
NC_005148	PCV-2	REF_PCV-2	Rep	51	995	(+)
NC_005148	PCV-2	REF_PCV-2	ORF3	357	671	(-)
NC_005148	PCV-2	REF_PCV-2	Cap 	1034	1735	(-)
NC_031753	PCV-3	REF_PCV-3	Rep	216	1106	(+)
NC_031753	PCV-3	REF_PCV-3	Cap 	1336	1980	(-)
NC_020904	CfCV	REF_CfCV	Rep	1	912	(+)
NC_020904	CfCV	REF_CfCV	Cap 	1116	1928	(-)
NC_023885	MiCV	REF_MiCV	Rep	36	929	(+)
NC_023885	MiCV	REF_MiCV	Cap 	1020	1703	(-)
NC_028045	TbCV	REF_TbCV	Rep	8	919	(+)
NC_028045	TbCV	REF_TbCV	Cap 	1055	1711	(-)
NC_001944	BFDV	REF_BFDV	Rep	108	1007	(+)
NC_001944	BFDV	REF_BFDV	gp2	550	1026	?
NC_001944	BFDV	REF_BFDV	Cap 	1240	1974	(-)
NC_003410	CaCV	REF_CaCV	Rep	32	948	(+)
NC_003410	CaCV	REF_CaCV	gp2	275	679	?
NC_003410	CaCV	REF_CaCV	Cap 	1154	1906	(-)
NC_008033	SvCV	REF_SvCV	Rep	37	906	(+)
NC_008033	SvCV	REF_SvCV	Cap 	1190	2020	(-)
NC_008375	RaCV	REF_RaCV	Rep	36	911	(+)
NC_008375	RaCV	REF_RaCV	Cap 	1116	1844	(-)
NC_008521	GuCV	REF_GuCV	Rep	100	1017	(+)
NC_008521	GuCV	REF_GuCV	Cap 	1190	1927	(-)
NC_008522	FiCV	REF_FiCV	Rep	29	904	(+)
NC_008522	FiCV	REF_FiCV	Cap 	614	1063	(-)
NC_007220	DuCV	REF_DuCV	Rep	48	926	(+)
NC_007220	DuCV	REF_DuCV	Cap 	1212	1961	(-)
NC_025247	SwCV	REF_SwCV	Rep	48	929	(+)
NC_025247	SwCV	REF_SwCV	Cap 	968	1723	(-)
NC_026945	ZfCV	REF_ZfCV	Rep	29	904	(+)
NC_026945	ZfCV	REF_ZfCV	Cap 	648	1400	(-)
NC_015399	BarbCV	REF_BarbCV	Rep	48	1007	(+)
NC_015399	BarbCV	REF_BarbCV	Cap 	1261	1761	(-)
NC_025246	SgCV	REF_SgCV	Rep	251	1195	(+)
NC_025246	SgCV	REF_SgCV	Cap 	1251	1934	(-)
KJ831064	HuACyV-1	REF_HuACyV-1	Cap 	183	875	(+)
KJ831064	HuACyV-1	REF_HuACyV-1	Rep	855	1685	(-)
KM382270	BatACyV-10	REF_BatACyV-10	Cap 	208	867	(+)
KM382270	BatACyV-10	REF_BatACyV-10	Rep	1005	1703	(-)
