sequenceID	isolate	isolate_update	country	country_update	host_sci_name	host_sci_name_update	collection_year	collection_year_update
AB182568	YCC-IN1P	unchanged	Indonesia	updated	Cacatua sulphurea	updated	-	unchanged
AB182569	YCC-IN2P	unchanged	Indonesia	updated	Cacatua sulphurea	updated	-	unchanged
AB182570	RRP-JP11P	unchanged	Japan	updated	Psittacula krameri	updated	-	unchanged
AB182571	RRP-JP12P	unchanged	Japan	updated	Psittacula krameri	updated	-	unchanged
AB182572	BTP-SA11P	unchanged	South Africa	updated	Aratinga pertinax	updated	-	unchanged
AB182573	RL-JP1P	unchanged	Japan	updated	Eos bornea	updated	-	unchanged
AB277726	AGP-SA1P-1	unchanged	Japan	unchanged	Psittacus erithacus erithacus	unchanged	-	unchanged
AB277727	AGP-SA1P-2	unchanged	Japan	unchanged	Psittacus erithacus erithacus	unchanged	-	unchanged
AB277728	AGP-SA1P-3	unchanged	Japan	unchanged	Psittacus erithacus erithacus	unchanged	-	unchanged
AB277729	AGP-SA1P-4	unchanged	Japan	unchanged	Psittacus erithacus erithacus	unchanged	-	unchanged
AB277730	AGP-SA1P-5	unchanged	Japan	unchanged	Psittacus erithacus erithacus	unchanged	-	unchanged
AB277731	AGP-SA2P	unchanged	Japan	unchanged	Psittacus erithacus erithacus	unchanged	-	unchanged
AB277732	TGP-SA1P	unchanged	Japan	unchanged	Psittacus erithacus timneh	unchanged	-	unchanged
AB277733	EC-SG1P	unchanged	Japan	unchanged	Cacatua galerita eleonora	unchanged	-	unchanged
AB277734	WC-SG1P	unchanged	Japan	unchanged	Cacatua alba	unchanged	-	unchanged
AB277735	WC-IN1P	unchanged	Japan	unchanged	Cacatua alba	unchanged	-	unchanged
AB277736	YCC-IN3P	unchanged	Japan	unchanged	Cacatua sulphurea	unchanged	-	unchanged
AB277737	YCC-IN4P	unchanged	Japan	unchanged	Cacatua sulphurea	unchanged	-	unchanged
AB277738	BWP-SA1P	unchanged	Japan	unchanged	Pionus chalcopterus	unchanged	-	unchanged
AB277739	BP-SA1P	unchanged	Japan	unchanged	Poicephalus meyeri	unchanged	-	unchanged
AB277740	BHP-SA1P	unchanged	Japan	unchanged	Poicephalus cryptoxanthus	unchanged	-	unchanged
AB277741	RBP-SA1P	unchanged	Japan	unchanged	Poicephalus rufiventris	unchanged	-	unchanged
AB277742	SP-SA1P	unchanged	Japan	unchanged	Poicephalus senegalus	unchanged	-	unchanged
AB277743	AP-UN1P	unchanged	Japan	unchanged	Psittacula eupatria	unchanged	-	unchanged
AB277744	EP-JP1P	unchanged	Japan	unchanged	Eclectus roratus	unchanged	-	unchanged
AB277745	DP-SA1P	unchanged	Japan	unchanged	Psittacula derbiana	unchanged	-	unchanged
AB277746	MU-JP1P	unchanged	Japan	unchanged	Melopsittacus undulatus	unchanged	-	unchanged
AB277747	MU-JP2P	unchanged	Japan	unchanged	Melopsittacus undulatus	unchanged	-	unchanged
AB514568	-	unchanged	Japan:Fukuoka	unchanged	-	unchanged	-	unchanged
AF071878	-	unchanged	-	unchanged	-	unchanged	-	unchanged
AF080560	-	unchanged	-	unchanged	Cacatua galerita	unchanged	-	unchanged
AF311297	-	unchanged	Australia: Southern Australia	unchanged	Cacatua tenuirostris	unchanged	-	unchanged
AF311298	-	unchanged	Australia: Western Australia	unchanged	Eolophus roseicapillus	unchanged	-	unchanged
AF311300	-	unchanged	Australia: Western Australia	unchanged	Cacatua leabeateri	unchanged	-	unchanged
AF311301	-	unchanged	Australia: Northern Territory	unchanged	Cacatua galerita	unchanged	-	unchanged
AF311302	-	unchanged	Australia: Western Australia	unchanged	Cacatua galerita	unchanged	-	unchanged
AJ605577	-	unchanged	-	unchanged	-	unchanged	-	unchanged
AY148285	SCC1	unchanged	-	unchanged	Cacatua galerita	unchanged	-	unchanged
AY148286	SCC2	unchanged	-	unchanged	Cacatua galerita	unchanged	-	unchanged
AY148287	SCC3	unchanged	-	unchanged	Cacatua galerita	unchanged	-	unchanged
AY148288	SCC4	unchanged	-	unchanged	Cacatua galerita	unchanged	-	unchanged
AY148289	LC1	unchanged	-	unchanged	Cacatua tenirostitus	unchanged	-	unchanged
