id	virus_name	full_name	virus_genus	virus_clade	organism	Phylum	Class	Superorder	Order	Family	Genus	NumericID	scaffold	extract_start	extract_end	sequence_length	orientation	assigned_name	assigned_gene	subject_start	subject_end
Tropilaelaps-1	ECV.Tropilaelaps	Tropilaelaps endogenous circoviral element	Circovirus	Unclassified	Tropilaelaps_mercedesae	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Laelapidae	Tropilaelaps	1	MNPL01000946.1	8023	8619	597	+	Silurus-glanis-circovirus	Rep	87	279
Tropilaelaps-2	ECV.Tropilaelaps	Tropilaelaps endogenous circoviral element	Unclassified	Unclassified	Tropilaelaps_mercedesae	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Laelapidae	Tropilaelaps	2	MNPL01006962.1	2601	3320	720	+	Florida-woods-cockroach-associated-cyclovirus	Rep	6	210
Tropilaelaps-3	ECV.Tropilaelaps	Tropilaelaps endogenous circoviral element	Circovirus	Unclassified	Tropilaelaps_mercedesae	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Laelapidae	Tropilaelaps	3	MNPL01011581.1	40445	40594	150	-	Zebra-finch-circovirus	Rep	203	252
Tropilaelaps-4	ECV.Tropilaelaps	Tropilaelaps endogenous circoviral element	Unclassified	Unclassified	Tropilaelaps_mercedesae	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Laelapidae	Tropilaelaps	4	MNPL01014537.1	1846	2581	736	-	Dragonfly-cyclovirus-2	Rep	55	253
Tropilaelaps-5	ECV.Tropilaelaps	Tropilaelaps endogenous circoviral element	Unclassified	Unclassified	Tropilaelaps_mercedesae	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Laelapidae	Tropilaelaps	5	MNPL01015210.1	3510	3962	453	-	Cyclovirus-VN	Rep	63	216
Tropilaelaps-6	ECV.Tropilaelaps	Tropilaelaps endogenous circoviral element	Unclassified	Unclassified	Tropilaelaps_mercedesae	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Laelapidae	Tropilaelaps	6	MNPL01015526.1	6875	8046	1172	+	Human-cyclovirus	Rep	69	270
Tropilaelaps-7	ECV.Tropilaelaps	Tropilaelaps endogenous circoviral element	Unclassified	Unclassified	Tropilaelaps_mercedesae	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Laelapidae	Tropilaelaps	7	MNPL01025738.1	9580	9777	198	-	Human-cyclovirus	Rep	193	257
Metaseiulus-8	ECV.Metaseiulus	Metaseiulus endogenous circoviral element	Unclassified	Unclassified	Metaseiulus_occidentalis	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Phytoseiidae	Metaseiulus	8	gi|389419741|ref|NW_003803737.1|	5360	5965	606	+	Dragonfly-cyclovirus-2	Rep	120	314
Metaseiulus-9	ECV.Metaseiulus	Metaseiulus endogenous circoviral element	Unclassified	Unclassified	Galendromus_occidentalis	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Phytoseiidae	Metaseiulus	9	NW_003803737.1	5360	5968	609	+	Dragonfly-cyclovirus-2	Rep	120	314
Varroa-10	ECV.Varroa	Varroa endogenous circoviral element	Circovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	10	ADDG01011650.1	3383	3888	506	-	Silurus-glanis-circovirus	Rep	86	182
Varroa-11	ECV.Varroa	Varroa endogenous circoviral element	Unclassified	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	11	ADDG01031766.1	2280	2567	288	-	Florida-woods-cockroach-associated-cyclovirus	Rep	73	157
Varroa-12	ECV.Varroa	Varroa endogenous circoviral element	Unclassified	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	12	ADDG01033538.1	1449	1955	507	-	Dragonfly-cyclovirus-5	Rep	62	231
Varroa-13	ECV.Varroa	Varroa endogenous circoviral element	Circovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	13	ADDG01043406.1	1382	1912	531	-	Silurus-glanis-circovirus	Rep	110	279
Varroa-14	ECV.Varroa	Varroa endogenous circoviral element	Circovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	14	ADDG01053339.1	883	1467	585	+	Silurus-glanis-circovirus	Rep	33	222
Varroa-15	ECV.Varroa	Varroa endogenous circoviral element	Unclassified	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	15	ADDG01057537.1	971	1504	534	-	Human-cyclovirus	Rep	130	273
Varroa-16	ECV.Varroa	Varroa endogenous circoviral element	Circovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	16	ADDG01066173.1	1053	1556	504	-	Anguilla-anguilla-circovirus	Rep	102	255
Varroa-17	ECV.Varroa	Varroa endogenous circoviral element	Unclassified	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	17	ADDG01068269.1	171	299	129	-	Florida-woods-cockroach-associated-cyclovirus	Rep	114	155
Varroa-18	ECV.Varroa	Varroa endogenous circoviral element	Circovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	18	ADDG01069300.1	383	727	345	-	Silurus-glanis-circovirus	Rep	110	199
Varroa-19	ECV.Varroa	Varroa endogenous circoviral element	Unclassified	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	19	ADDG01070450.1	1027	1533	507	-	Dragonfly-cyclovirus-2	Rep	80	195
Varroa-20	ECV.Varroa	Varroa endogenous circoviral element	Unclassified	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	20	ADDG01071768.1	46	450	405	+	Dragonfly-cyclovirus-4	Rep	126	263
Varroa-21	ECV.Varroa	Varroa endogenous circoviral element	Unclassified	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	21	ADDG01114935.1	421	885	465	+	Dragonfly-cyclovirus-3	Rep	48	182
Varroa-22	ECV.Varroa	Varroa endogenous circoviral element	Unclassified	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	22	ADDG01121481.1	234	497	264	-	Cyclovirus-ZM36a	Rep	8	94
Varroa-23	ECV.Varroa	Varroa endogenous circoviral element	Circovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	23	ADDG01140645.1	101	448	348	-	Silurus-glanis-circovirus	Rep	88	199
Varroa-24	ECV.Varroa	Varroa endogenous circoviral element	Circovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	24	ADDG01145803.1	125	571	447	-	Anguilla-anguilla-circovirus	Rep	127	264
Varroa-25	ECV.Varroa	Varroa endogenous circoviral element	Unclassified	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	25	ADDG01153508.1	116	508	393	+	Human-cyclovirus	Rep	127	251
Varroa-26	ECV.Varroa	Varroa endogenous circoviral element	Unclassified	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	26	ADDG01177121.1	67	330	264	+	Dragonfly-cyclovirus-3	Rep	57	142
Loxosceles-27	ECV.Loxosceles	Loxosceles endogenous circoviral element	Unclassified	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	27	JJRW01S0000222.1	237566	238039	474	+	Circo-like-virus-Brazil-hs1	putative-Rep-protein	76	234
Loxosceles-28	ECV.Loxosceles	Loxosceles endogenous circoviral element	Circovirus	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	28	JJRW01S0001858.1	99328	99921	594	-	Columbid-circovirus	Rep	38	237
Loxosceles-29	ECV.Loxosceles	Loxosceles endogenous circoviral element	Unclassified	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	29	JJRW01S0002407.1	164595	165113	519	-	Circoviridae-5-LDMD-2013	replication-associated-protein	8	175
Loxosceles-30	ECV.Loxosceles	Loxosceles endogenous circoviral element	Circovirus	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	30	JJRW01S0002626.1	81774	82400	627	+	Columbid-circovirus	Rep	38	247
