sequenceID	name	full_name	family	genus	clade	host range	isolation_source
NC_014930	NGchicken15	Cyclovirus NGchicken15/NGA/2009	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Gallus gallus
NC_034977	DuACyV-1	Duck associated cyclovirus 1 strain DuACyV-1/1 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Anas platyrhynchos
NC_034547	BtCyV-GF-4c	Bat cyclovirus GF-4c putative Rep and putative Cap genes 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Bat sp.
NC_025791	BtCyV-POAII	Bat circovirus POA/2012/II 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	bat colony
NC_025792	BtCyV-POAVI	Bat circovirus POA/2012/VI 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	bat colony
NC_025476	CyV-ZM36a	Cyclovirus ZM36a DNA 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Crocidura hirta
NC_023866	DfCyV5	Dragonfly cyclovirus 5 isolate PR-6E-2010 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Erythrodiplax umbrata
NC_024700	FlCyV	Feline cyclovirus 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Felis catus
NC_021707	CyV-VN	Cyclovirus VN isolate hcf1 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Homo sapiens
NC_032682	IE-CyV-IECSF08	Indian encephalitis associated cyclovirus isolate IECSF08 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Homo sapiens
NC_023874	HuCyV-GS140	Human associated cyclovirus 10 strain 7078A 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Homo sapiens
NC_020206	FwCa-CyV-GS140	Florida woods cockroach-associated cyclovirus isolate GS140	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Eurycotis floridana
NC_021568	HuCyV-VS5700009	Human cyclovirus VS5700009 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Homo sapiens
NC_023869	DfCyV-2	Dragonfly cyclovirus 2 isolate FL1-NZ38-2010 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Pantala flavescens
NC_014929	CyV-bat	Cyclovirus bat/USA/2009 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Bat sp.
NC_023867	DfCyV-4	Dragonfly cyclovirus 4 isolate BG-NZ46-2007 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Somatochlora meridionalis
NC_023886	DfCyV-A1	Dragonfly cyclovirus isolate DfCyV-A1_To-6NZ21-Tt-2010  	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Tholymis tillarga
KJ831064	CyV-SL-108277	Cyclovirus SL-108277	Circoviridae	Cyclovirus	Unclassified	Unknown	Unknown
KM382270	BtRp-CV-POA	Bat circovirus POA/2012/VI	Circoviridae	Cyclovirus	Unclassified	Unknown	Unknown
