taxon	sequenceID	name	genus	scaffold	host_species	host_genus	host_family	host_order
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Acinonyx_jubatus_144313	Acinonyx_jubatus_144313	Acinonyx_jubatus_144313	Circovirus	gi|961474414|ref|NW_015130760.1|	Acinonyx_jubatus	-	Felidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Acinonyx_jubatus_17834	Acinonyx_jubatus_17834	Acinonyx_jubatus_17834	Circovirus	gi|961473506|ref|NW_015131668.1|	Acinonyx_jubatus	-	Felidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailuropoda_melanoleuca_105556	Ailuropoda_melanoleuca_105556	Ailuropoda_melanoleuca_105556	Circovirus	GL192665.1	Ailuropoda_melanoleuca	-	Ursidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailuropoda_melanoleuca_113604	Ailuropoda_melanoleuca_113604	Ailuropoda_melanoleuca_113604	Circovirus	GL193092.1	Ailuropoda_melanoleuca	-	Ursidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailuropoda_melanoleuca_16	Ailuropoda_melanoleuca_16	Ailuropoda_melanoleuca_16	Circovirus	GL197372.1	Ailuropoda_melanoleuca	-	Ursidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailuropoda_melanoleuca_231007	Ailuropoda_melanoleuca_231007	Ailuropoda_melanoleuca_231007	Circovirus	GL193438.1	Ailuropoda_melanoleuca	-	Ursidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailuropoda_melanoleuca_282219	Ailuropoda_melanoleuca_282219	Ailuropoda_melanoleuca_282219	Circovirus	GL192663.1	Ailuropoda_melanoleuca	-	Ursidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailuropoda_melanoleuca_429570	Ailuropoda_melanoleuca_429570	Ailuropoda_melanoleuca_429570	Circovirus	GL193915.1	Ailuropoda_melanoleuca	-	Ursidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailuropoda_melanoleuca_5136	Ailuropoda_melanoleuca_5136	Ailuropoda_melanoleuca_5136	Circovirus	GL193365.1	Ailuropoda_melanoleuca	-	Ursidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailuropoda_melanoleuca_8	Ailuropoda_melanoleuca_8	Ailuropoda_melanoleuca_8	Circovirus	GL192368.1	Ailuropoda_melanoleuca	-	Ursidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailurus_fulgens_114206	Ailurus_fulgens_114206	Ailurus_fulgens_114206	Circovirus	LNAC01000184.1	Ailurus_fulgens	-	Ailuridae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailurus_fulgens_11654	Ailurus_fulgens_11654	Ailurus_fulgens_11654	Circovirus	LNAC01001621.1	Ailurus_fulgens	-	Ailuridae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailurus_fulgens_159625	Ailurus_fulgens_159625	Ailurus_fulgens_159625	Circovirus	LNAC01000314.1	Ailurus_fulgens	-	Ailuridae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailurus_fulgens_211285	Ailurus_fulgens_211285	Ailurus_fulgens_211285	Circovirus	LNAC01001293.1	Ailurus_fulgens	-	Ailuridae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailurus_fulgens_21468	Ailurus_fulgens_21468	Ailurus_fulgens_21468	Circovirus	LNAC01000083.1	Ailurus_fulgens	-	Ailuridae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailurus_fulgens_22906	Ailurus_fulgens_22906	Ailurus_fulgens_22906	Circovirus	LNAC01000703.1	Ailurus_fulgens	-	Ailuridae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailurus_fulgens_269586	Ailurus_fulgens_269586	Ailurus_fulgens_269586	Circovirus	LNAC01001182.1	Ailurus_fulgens	-	Ailuridae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailurus_fulgens_291687	Ailurus_fulgens_291687	Ailurus_fulgens_291687	Circovirus	LNAC01000223.1	Ailurus_fulgens	-	Ailuridae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailurus_fulgens_339939	Ailurus_fulgens_339939	Ailurus_fulgens_339939	Circovirus	LNAC01000223.1	Ailurus_fulgens	-	Ailuridae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailurus_fulgens_355930	Ailurus_fulgens_355930	Ailurus_fulgens_355930	Circovirus	LNAC01000991.1	Ailurus_fulgens	-	Ailuridae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailurus_fulgens_461978	Ailurus_fulgens_461978	Ailurus_fulgens_461978	Circovirus	LNAC01000352.1	Ailurus_fulgens	-	Ailuridae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailurus_fulgens_502333	Ailurus_fulgens_502333	Ailurus_fulgens_502333	Circovirus	LNAC01000523.1	Ailurus_fulgens	-	Ailuridae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailurus_fulgens_69343	Ailurus_fulgens_69343	Ailurus_fulgens_69343	Circovirus	LNAC01000184.1	Ailurus_fulgens	-	Ailuridae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailurus_fulgens_885318	Ailurus_fulgens_885318	Ailurus_fulgens_885318	Circovirus	LNAC01000400.1	Ailurus_fulgens	-	Ailuridae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Ailurus_fulgens_934380	Ailurus_fulgens_934380	Ailurus_fulgens_934380	Circovirus	LNAC01000507.1	Ailurus_fulgens	-	Ailuridae	Carnivora
