sequenceID	name	Genus	referenceName	featureName	startNT	endNT
NC_001792	PCV-1	Circovirus	REF_Circo_MASTER_PCV-1	whole_genome	1	1758
NC_001792	PCV-1	Circovirus	REF_Circo_MASTER_PCV-1	5UTR	1	54
NC_001792	PCV-1	Circovirus	REF_Circo_MASTER_PCV-1	Rep	55	993
NC_001792	PCV-1	Circovirus	REF_Circo_MASTER_PCV-1	Cap	1038	1730
NC_001792	PCV-1	Circovirus	REF_Circo_MASTER_PCV-1	3UTR	1731	1758
NC_001944	BFDV	Circovirus	REF_Circo_BFDV	whole_genome	1	1993
NC_001944	BFDV	Circovirus	REF_Circo_BFDV	Rep	108	1007
NC_001944	BFDV	Circovirus	REF_Circo_BFDV	gp3	550	1026
NC_001944	BFDV	Circovirus	REF_Circo_BFDV	Cap	1240	1974
NC_003410	CaCV	Circovirus	REF_Circo_CaCV	whole_genome	1	1952
NC_003410	CaCV	Circovirus	REF_Circo_CaCV	Rep	32	904
NC_003410	CaCV	Circovirus	REF_Circo_CaCV	Cap	1154	1906
NC_005148	PCV-2	Circovirus	REF_Circo_PCV-2	whole_genome	1	1768
NC_005148	PCV-2	Circovirus	REF_Circo_PCV-2	Rep	51	995
NC_005148	PCV-2	Circovirus	REF_Circo_PCV-2	ORF3	357	671
NC_005148	PCV-2	Circovirus	REF_Circo_PCV-2	Cap	1034	1735
NC_008033	StCV	Circovirus	REF_Circo_StCV	whole_genome	1	2063
NC_008033	StCV	Circovirus	REF_Circo_StCV	Rep	37	906
NC_008033	StCV	Circovirus	REF_Circo_StCV	gp3	834	1154
NC_008033	StCV	Circovirus	REF_Circo_StCV	Cap	1190	2020
NC_007220	DuCV	Circovirus	REF_Circo_DuCV	whole_genome	1	1991
NC_007220	DuCV	Circovirus	REF_Circo_DuCV	Rep	48	926
NC_007220	DuCV	Circovirus	REF_Circo_DuCV	gp3	423	827
NC_007220	DuCV	Circovirus	REF_Circo_DuCV	Cap	1155	1928
NC_008033	SvCV	Circovirus	REF_Circo_SvCV	whole_genome	1	2063
NC_008033	SvCV	Circovirus	REF_Circo_SvCV	Rep	37	906
NC_008033	SvCV	Circovirus	REF_Circo_SvCV	Cap	1190	2020
NC_008375	RaCV	Circovirus	REF_Circo_RaCV	whole_genome	1	1898
NC_008375	RaCV	Circovirus	REF_Circo_RaCV	Rep	36	911
NC_008375	RaCV	Circovirus	REF_Circo_RaCV	Cap	1116	1844
NC_008521	GuCV	Circovirus	REF_Circo_GuCV	whole_genome	1	2035
NC_008521	GuCV	Circovirus	REF_Circo_GuCV	Rep	100	1017
NC_008521	GuCV	Circovirus	REF_Circo_GuCV	gp3	790	1209
NC_008521	GuCV	Circovirus	REF_Circo_GuCV	Cap	1190	1927
