"organism","target_version"
"Actinidia_chinensis","Kiwifruit_v1"
"Aethionema_arabicum","VEGI_AA_v_1.0"
"Amaranthus_hypochondriacus","AHP_1.0"
"Amborella_trichopoda","ncbi_100"
"Ananas_comosus","ASM154086v1"
"Aquilegia_coerulea","Aquilegia_coerulea_v1"
"Arabis_alpina","A_alpina_V4"
"Arachis_duranensis","ncbi_100"
"Arachis_ipaensis","ncbi_100"
"Asclepias_syriaca","ASM201828v1"
"Asparagus_officinalis","ASM201393v1"
"Atalantia_buxifolia","ASM201393v1"
"Azadirachta_indica","AzaInd2.1"
"Begonia_fuchsioides","ASM325500v1"
"Beta_vulgaris_subsp._vulgaris","ncbi_100"
"Betula_nana","ASM32700v1"
"Boechera_stricta","Bstricta_278_v1"
"Brachypodium_distachyon","ensemble_release-31"
"Brassica_napus","v1.0"
"Brassica_rapa","Brapa_1.0"
"Cajanus_cajan","Asha_ver1.0"
"Camelina_sativa","Cs_100"
"Cannabis_sativa","Chemdog91_175268"
"Capsella_bursa-pastoris","v1"
"Capsella_rubella","Caprub1_0"
"Capsicum_annuum","v1.0"
"Carica_papaya","Papaya1.0"
"Carnegiea_gigantea","Cgig_v1.3"
"Carthamus_tinctorius","Safflower1"
"Castanea_mollissima","ASM76360v1"
"Catharanthus_roseus","ASM94934v1"
"Cephalotus_follicularis","Cfol_1.0"
"Chamaecrista_fasciculata","ASM325492v1"
"Chenopodium_pallidicaule","ASM168700v1"
"Chenopodium_quinoa","ASM168347v1"
"Chenopodium_suecicum","ASM168702v1"
"Chlamydomonas_asymmetrica","Cas_assembly01"
"Chlamydomonas_debaryana","ASM102112v1"
"Cicer_arietinum","ncbi_101"
"Citrullus_lanatus","CiLa_1.0"
"Citrus_cavaleriei","ASM201397v1"
"Citrus_clementina","v1.0"
"Citrus_maxima","ASM200692v1"
"Citrus_medica","ASM201395v1"
"Citrus_reticulata","ASM325862v1"
"Citrus_sinensis","v1.0"
"Citrus_unshiu","CunshiuBMS10_01"
"Citrus_x_paradisi_x_Citrus_trifoliata","WD23_11"
"Coffea_canephora","v1.0"
"Corchorus_capsularis","CCACVL1_1.0"
"Corchorus_olitorius","COLO4_1.0"
"Cucumis_melo","ncbi_101"
"Cucumis_sativus","ASM407v2"
"Cymbomonas_tetramitiformis","ASM124769v1"
"Daucus_carota_sativus","ASM162521v1"
"Dendrobium_catenatum","ASM160598v1"
"Drosera_capensis","ASM192500v1"
"Elaeis_guineensis","ncbi_100"
"Embelia_ribes","ER1_v1"
"Ensete_ventricosum","v2.0"
"Eragrostis_tef","GCA_000970635"
"Erythranthe_guttata","ncbi_100"
"Eucalyptus_camaldulensis","EUC_r1.0"
"Euclidium_syriacum","GCA_900116095"
"Eutrema_parvulum","v01"
"Ficus_carica","F.carica_assembly01"
"Foeniculum_vulgare","GCA_003724115.1"
"Fragaria_ananassa","FAN_r1.1"
"Fragaria_iinumae","FII_r1.1"
"Fragaria_nipponica","FNI_r1.1"
"Fragaria_vesca","ncbi_101"
"Fraxinus_excelsior","GCA_000576895"
"Genlisea_aurea","GenAur_1.0"
"Glycine_max","ncbi_102"
"Gossypium_hirsutum","ncbi_100"
"Gossypium_raimondii","ncbi_100"
"Hibiscus_syriacus","ASM169675v1"
"Hordeum_vulgare","ASM32612v1"
"Humulus_lupulus","hl_SW_version_1.0"
"Ipomoea_trifida","ITR_r1.0"
"Jatropha_curcas","ncbi_100"
"Juglans_regia","wgs.5d"
"Klebsormidium_flaccidum","ASM70883v1"
"Lactuca_sativa","Legassy_V2"
"Linum_usitatissimum","v1.1"
"Lotus_japonicus","Lj3.0"
"Lupinus_angustifolius","v1.0"
"Malus_domestica","ncbi_100"
"Manihot_esculenta","Manihot_esculenta_v6"
"Mimosa_pudica","ASM325494v1"
"Momordica_charantia","ASM199503v1"
"Monoraphidium_neglectum","mono_v1"
"Morus_notabilis","ASM41409v2"
"Mucuna_pruriens","GCA_003370565.1"
"Musa_acuminata","ncbi_100"
"Nelumbo_nucifera","ncbi_100"
"Nicotiana_sylvestris","ncbi_100"
"Nicotiana_tabacum","ncbi_100"
"Nicotiana_tomentosiformis","ncbi_100"
"Nissolia_schottii","ASM325490v1"
"Ormyrus_nitidulus","Onit"
"Oryza_barthii","release-31"
"Oryza_brachyantha","release-31"
"Panicum_miliaceum","ASM289544v1"
"Papaver_somniferum","GCF_003573695"
"Parachlorella_kessleri","PK2152"
"Penstemon_centranthifolius","ASM73743v1"
"Persea_americana","Hass1.0"
"Phalaenopsis_equestris","ASM126359v1"
"Phaseolus_vulgaris","PhaVulg1_0"
"Phoenix_dactylifera","ncbi_100"
"Pinus_lambertiana","Sugar_pine_JHU_assembly"
"Plants","low_coverage"
"Prunus_mume","ncbi_101"
"Prunus_persica","v1.0"
"Purshia_tridentata","ASM325488v1"
"Pyrus_x_bretschneideri","ncbi_100"
"Quercus_lobata","ValleyOak0.5"
"Raphanus_raphanistrum","ASM76984v1"
"Raphanus_sativus","Rs1.0"
"Rhazya_stricta","RHA1.0"
"Ricinus_communis","ncbi_100"
"Rosa_multiflora","RMU_r2.0"
"Rosa_x_damascena","ASM166254v1"
"Ruellia_speciosa","Rspec1.0"
"Selaginella_kraussiana","ASM102113v1"
"Sesamum_indicum","v1.0"
"Setaria_italica","ncbi_102"
"Silene_latifolia","ASM141213v1"
"Sisymbrium_irio","VEGI_SI_v_1.0"
"Solanum_lycopersicum","ncbi_101"
"Solanum_pennellii","ncbi_100"
"Solanum_pimpinellifolium","Sol_pimpi_v1.0"
"Solanum_tuberosum","ncbi_100"
"Sorghum_bicolor","release-31"
"Spirodela_polyrhiza","v01"
